Player,Picture,Squad,Squad_picture,Pos,DPos,contribution,Annual Wages,Squad Annual Wages,Con_color,Con_longitude,Pos_Order,DPos_Order,90s,Aerials Won %,Blocks Contribution,Clearance Contribution,Interception Contribution,Pass Completion %,Crosses Completed,Progressive Carries,Tackles Contribution,Touches in Attacking Third,Carries into Final Third,Ball Recoveries,Progressive Passes,Key Passes,Tackles Won,Shot-Creating Actions,xA,Assists,Goals,Progressive Passes Received,xG,xG-G,all_con%,all_latitude,all_longitude,Clean Sheets Contribution,Launch %,PSxG-GA,Pass Completion Contribution,Save%,posrank,dposrank,allposrank,alldposrank
Ibrahim Sangaré,https://fbref.com/req/202302030/images/headshots/bced0375_2022.jpg,Nott'ham Forest,https://cdn.ssref.net/req/202505011/tlogo/fb/e4a786cb.png,MF,CDM,16.488,4762884,83890867,37.8718118816524,60.6133950743475,2,3,3.1,,5,,2,78.5,,,,,,22,12,3,10,,,,,,,,,5°N-20°N,17.03850512023878,,,,,,1,1,4,2
Morato,0,Nott'ham Forest,https://cdn.ssref.net/req/202505011/tlogo/fb/e4a787cb.png,DF,CB,1.003,2222679,83890867,13.0676178982583,19.1883788408345,3,1,8.4,27.8,11,66,9,74.1,,,,,,,,,,,,,,,,,,20°S-25°S,5.744496174538794,,,,,,8,4,126,71
Murillo,0,Nott'ham Forest,https://cdn.ssref.net/req/202505011/tlogo/fb/e4a788cb.png,DF,CB,1.939,1905153,83890867,19.3214067876891,28.3713891901801,3,1,30.5,64.2,64,208,29,78,,,,,,,,,,,,,,,,,,40°S-60°S,3.159262149937986,,,,,,4,2,57,24
Nikola Milenković,https://fbref.com/req/202302030/images/headshots/bee704fc_2022.jpg,Nott'ham Forest,https://cdn.ssref.net/req/202505011/tlogo/fb/e4a789cb.png,DF,CB,1.553,6668037,83890867,16.7423870106375,24.5843785119243,3,1,31,71.2,36,160,23,80.9,,,,,,,,,,,,,,,,,,25°S-35°S,3.950667159486907,,,,,,5,3,78,39
Willy Boly,https://fbref.com/req/202302030/images/headshots/a4ac4b8f_2022.jpg,Nott'ham Forest,https://cdn.ssref.net/req/202505011/tlogo/fb/e4a790cb.png,DF,CB,3.925,2540205,83890867,32.5906639825712,47.855853457061,3,1,1.7,75,4,12,3,78.6,,,,,,,,,,,,,,,,,,40°S-60°S,5.328931391635972,,,,,,1,1,12,6
Harry Toffolo,https://fbref.com/req/202302030/images/headshots/a105d46a_2022.jpg,Nott'ham Forest,https://cdn.ssref.net/req/202505011/tlogo/fb/e4a791cb.png,DF,LB,1.041,2222679,83890867,16.7204647469502,120,3,2,0.5,,,,,,3,0,2,0,,,,,,,,,,,,,,40°S-60°S,7.03916672218387,,,,,,6,1,80,18
Eric da Silva Moreira,https://fbref.com/req/202302030/images/headshots/0a4f579a_2022.jpg,Nott'ham Forest,https://cdn.ssref.net/req/202505011/tlogo/fb/e4a792cb.png,DF,RB,0.833,508041,83890867,13.9964339216946,24.6195053678961,3,3,0.3,,,,,,0,1,2,0,,,,,,,,,,,,,,35°S-40°S,14.12993869002688,,,,,,7,3,110,29
Neco Williams,https://fbref.com/req/202302030/images/headshots/dd323728_2022.jpg,Nott'ham Forest,https://cdn.ssref.net/req/202505011/tlogo/fb/e4a793cb.png,DF,RB,1.752,3175256,83890867,26.0319355005882,45.7897618335528,3,3,22.8,,,,,,39,53,66,25,,,,,,,,,,,,,,25°S-35°S,12.44580529174332,,,,,,3,2,27,11
Ola Aina,https://fbref.com/req/202302030/images/headshots/246d153b_2022.jpg,Nott'ham Forest,https://cdn.ssref.net/req/202505011/tlogo/fb/e4a794cb.png,DF,RB,1.917,2540205,83890867,28.1928253379303,49.590732798551,3,3,28.5,,,,,,42,54,53,35,,,,,,,,,,,,,,25°S-35°S,13.47892148749677,,,,,,2,1,20,7
Matz Sels,https://fbref.com/req/202302030/images/headshots/834b5c4c_2022.jpg,Nott'ham Forest,https://cdn.ssref.net/req/202505011/tlogo/fb/e4a795cb.png,GK,GK,3.953,2222679,83890867,22.9347324565381,360,4,0,32,,,,,,,,,,,,,,,,,,,,,,,60°S-70°S,19.37106903147936,13,71.1,3.1,215,74.5,1,1,10,10
